idx,url,title,addr,like,x,y
0,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=581460,봉래헌,서울특별시 강서구 방화대로 94 (외발산동),52,126.8195072,37.547896
1,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=133350,한국의집,서울특별시 중구 퇴계로36길 10 (필동2가),35,126.9945463,37.5601971
2,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=580747,삼청각,서울특별시 성북구 대사관로 3 (성북동),21,126.9835257,37.5972793
3,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=582755,지화자,서울특별시 종로구 자하문로 125 (청운동),15,126.9693968,37.5871193
4,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=1981291,궁,전라북도 전주시 완산구 천잠로 337 (효자동3가),9,127.0932618,35.817078
5,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=1981963,수리뫼,경상북도 경주시 내남면 포석로 110-32 (내남면),31,129.2081919,35.7522762
6,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=133769,석파랑,서울특별시 종로구 자하문로 309 (홍지동),26,126.9587367,37.5992827
7,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=2360783,대장금,서울특별시 송파구 올림픽로 300 (신천동),11,127.1043005,37.5136378
8,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=133964,요석궁,경상북도 경주시 교촌안길 19-4 (교동),38,129.2170033,35.8305534
9,http://korean.visitkorea.or.kr/kor/bz15/food/w_food_main_view.jsp?cid=845051,한채당,경기도 하남시 미사동로 38 (미사동),17,127.2015653,37.5708172
